items,item_utilities,item_probabilities
159 392 968 1029 1345 1474,513 520 384 672 1104 645,0.89 0.26 0.87 0.86 0.77 0.74
533 566 593 710 943 1039 1482,968 534 561 476 988 324 240,0.78 0.76 0.45 0.01 0.6 0.86 0.83
1230 1301,308 376,0.29 0.07
685,612,0.27
219 308 375 1163 1317 1500,504 872 687 246 451 482,0.81 0.16 0.9 0.64 0.23 0.36
156 355 466 1065 1431 1454 1497,220 243 1052 376 1128 678 986,0.68 0.71 0.98 0.54 0.9 0.95 0.01
104 297 620 786,1556 360 219 194,0.69 0.14 0.66 0.03
237 270 287,536 672 312,0.09 0.24 0.23
218 267 544 561 833 1104,1376 332 885 231 956 735,0.77 0.81 0.31 0.39 0.84 0.35
571,500,0.76
1033 1503,573 882,0.51 0.17
26 236 242 1151,264 543 777 186,0.08 0.59 0.23 0.32
286 669 692 1434,284 360 310 186,0.93 0.99 0.78 0.39
360,524,0.65
244 450 805 1332,810 674 576 276,0.56 0.25 0.06 0.58
167 400 622 939 976 1009 1481,240 572 243 280 468 891 579,0.29 0.51 0.65 0.16 0.62 0.04 0.72
98 185 1101 1373,549 113 786 1440,0.07 0.58 0.6 0.19
751 774 1331,438 980 822,0.69 0.44 0.98
1154,340,0.17
528 628 1464 1497,288 560 592 986,0.46 0.18 0.24 0.8
274 950 1106,1496 1041 608,0.12 0.26 0.52
270 1050 1063 1073 1229 1312 1533,672 256 1272 1035 390 612 1000,0.45 0.48 0.77 0.48 0.55 0.91 0.79
305 627 687 804 1037,678 509 291 442 115,0.01 0.71 0.11 0.71 0.37
95 105 151 261 344 844 860 1226,438 744 873 1014 684 993 702 592,0.44 0.08 0.65 0.69 0.12 0.98 0.55 0.22
219 862 906 1189 1328 1334 1484,1260 819 126 304 903 552 264,0.63 0.47 0.94 0.71 0.26 0.95 0.9
477 893 1203,258 455 292,0.92 0.37 0.28
443 626,665 387,0.47 0.94
772 1055 1143,776 486 528,0.82 0.24 0.83
13 173 217 433 1342,530 429 204 348 1119,0.21 0.5 0.47 0.65 0.56
27 564 799 863 1485 1515,795 264 1136 1192 750 440,0.46 0.76 0.01 0.88 0.71 0.57
936 1080,1112 876,1.0 0.74
177 753 813 920 1003 1502,332 378 434 292 234 843,0.3 0.67 0.43 0.41 0.81 0.82
96 106 1165 1487 1548,844 592 846 285 268,0.71 0.81 0.41 0.33 0.98
259 625 908 1062,570 483 276 714,0.59 0.93 0.58 0.26
469 542 846 1274 1358,258 604 342 393 840,0.05 0.91 0.88 0.59 0.67
51 128 521 727 1083,735 212 1814 573 250,0.19 0.57 0.17 0.41 0.44
1216 1287,844 560,0.76 0.44
671,1172,0.84
26 302 361 392 1150 1401,176 690 339 520 1276 318,0.82 0.94 0.15 0.31 0.36 0.31
142 342 452 1051 1417 1440 1484,927 450 1488 156 1444 1124 198,0.41 0.65 0.66 0.25 0.57 0.87 0.56
90 283 606 772,308 1092 795 582,0.41 0.57 0.53 0.73
223 257 273,957 212 654,0.15 0.36 0.28
204 254 530 547 820 1090,640 224 752 693 210 645,0.47 0.67 0.58 0.25 0.92 0.17
557,680,0.37
66 616 728 805 1198 1308 1381,1032 399 378 576 686 774 868,0.64 0.78 0.86 0.94 0.85 0.82 0.46
39 139 166 562 595 678 1348,622 537 741 177 426 1107 988,0.99 0.95 0.68 0.67 0.75 0.33 0.11
133 432 582,280 705 760,0.02 0.86 0.93
316 932,393 318,0.2 0.35
47 147 270 569 602 1045 1318,1028 192 896 1580 428 1480 186,0.32 0.46 0.47 0.75 0.31 0.59 0.98
80 309 446 469 513 729,1452 1448 1500 258 115 516,0.23 0.75 0.63 0.97 0.11 0.73
471 478 631 677 814 1180 1247 1360,332 873 156 1184 692 1560 504 726,0.83 0.61 0.93 0.09 0.5 0.64 0.85 0.9
119 182 818 1507,684 552 540 919,0.84 0.93 0.03 0.65
1061 1068 1423,664 633 948,0.77 0.96 0.73
294,396,0.3
337 410 653 1109 1142 1159 1286,300 378 834 165 885 1134 270,0.9 0.74 0.97 0.42 0.59 0.27 0.24
164 724 823 946 1246 1289 1366,1188 588 1372 1140 462 242 827,0.94 0.33 0.84 0.71 0.52 0.21 0.89
48 158 757 1123 1146 1406,376 632 441 784 1028 224,0.17 0.38 0.05 1.0 0.5 0.05
1154 1308 1491,509 516 516,0.7 0.7 0.05
120 549 702 723 885 1129 1225,451 504 1536 204 413 729 344,0.57 0.56 0.13 0.2 0.55 0.76 0.21
221 305 561 810 937 1047,732 678 154 227 1083 1292,0.55 0.07 0.84 0.99 0.07 0.45
1014 1087 1330,118 332 399,0.19 0.28 0.82
175 235 924,1155 710 540,0.7 0.22 0.61
778 812 1151 1400 1527,1088 1336 186 258 692,0.7 0.84 0.42 0.93 0.78
620 809 1203 1386,219 366 438 492,0.18 0.99 0.12 0.78
410 437 753 882 1026 1359,378 591 378 747 639 248,0.8 0.92 0.07 0.43 0.33 0.03
2 351,296 552,0.56 0.8
247 418 880 1400 1489,534 1264 1095 344 519,0.09 0.76 0.67 0.24 0.75
555 759 1175 1485,864 378 519 300,0.43 0.93 0.45 0.43
143 965,738 459,0.06 0.94
22 43 998 1524,916 668 500 252,0.91 0.84 0.97 0.8
213 357 456 689 912 1228 1299,168 360 801 352 789 876 827,0.91 0.22 0.8 0.41 0.84 0.88 0.27
353 396,628 1296,0.31 0.79
1237 1253 1380,825 684 1448,0.26 0.9 0.29
145 415 477 1087 1413 1430,1135 1164 344 664 1014 1008,0.95 0.73 0.82 0.74 0.69 0.5
9 651 1028 1537,968 160 672 819,0.05 0.11 0.58 0.62
96 142 252 335 851 1217 1500,422 696 1084 748 501 381 723,0.62 0.58 0.75 0.26 0.27 0.32 0.35
83 986,1164 1400,0.8 0.99
117 643 720 809 1113 1126 1296 1319,550 552 344 366 268 348 753 336,0.67 0.57 0.54 0.32 0.49 0.27 0.12 0.68
51 151 274 574,294 1164 1496 801,0.8 0.68 0.92 0.88
78 960,657 645,0.05 0.92
41 244 461 904,267 810 816 300,0.66 0.73 0.62 0.1
91 95 484 887 910,803 730 1820 720 736,0.61 0.52 0.87 0.45 0.84
48 115 668 824 1024 1390 1550,376 260 1179 633 1580 382 724,0.09 0.09 0.38 0.3 0.68 0.92 0.8
283 389 393 772 782 1209 1465,819 716 448 776 702 1080 836,0.2 0.11 0.86 0.74 0.31 0.08 0.04
360 1165 1182 1309,524 1128 420 1038,0.17 0.83 0.97 0.97
20 170 330 1162 1372 1439,1112 960 1194 636 747 600,0.88 0.78 0.49 0.42 0.54 0.52
624 907 1046 1202,984 684 664 1576,0.24 0.21 0.09 0.7
472 1281 1337 1447 1531,328 831 171 888 153,0.05 0.29 0.67 0.81 0.45
232 322 389 1177 1331 1514,789 1490 537 616 1096 231,0.43 0.47 0.43 0.55 0.66 0.31
169 369 479 1078 1445 1468 1511,792 690 860 328 148 504 360,0.79 0.56 0.43 0.75 0.11 0.51 0.05
117 311 633 800,1100 860 222 652,0.02 0.32 0.91 0.95
251 284 301,488 297 106,0.81 0.51 0.78
231 281 558 574 847 1117,1325 1315 240 801 1920 1092,0.42 0.69 0.76 0.95 0.31 0.4
585,872,0.98
1047 1517,1292 115,0.61 0.07
40 250 256 1165,297 777 795 846,0.98 0.38 0.5 0.32
300 683 705 1448,588 432 264 788,0.74 0.94 0.49 0.22
374,596,0.37
257 463 819 1345,159 375 554 1839,0.23 0.08 0.7 0.8
181 413 636 952 990 1023 1495,372 675 792 1164 1248 492 1044,0.98 0.94 0.89 0.5 0.58 0.26 0.17
112 199 1114 1387,451 334 1368 1396,0.65 0.96 0.78 0.89
765 788 1248,576 275 1664,0.56 0.36 0.46
13 1168,795 764,0.21 0.11
330 396 1185 1338 1384 1521,1592 648 540 666 771 210,0.6 0.57 0.23 0.63 0.43 0.8
284 1064 1087 1130 1347,297 216 332 775 531,0.71 0.16 0.18 0.36 0.06
121 155 743 843 1380,596 1524 192 882 1086,0.54 0.75 0.08 0.29 0.79
462 535 778 1267 1284 1410 1516,636 852 1088 480 486 688 1344,0.87 0.29 0.41 0.61 0.41 0.49 0.42
460 560 982 1015,805 480 576 1095,0.26 0.75 0.12 0.56
83 553 759 915,1164 573 567 574,0.94 0.84 0.58 0.59
74 330 573 806 1029 1345 1383 1416,628 796 1017 780 504 736 777 1112,0.89 0.65 0.14 0.95 0.38 0.84 0.33 0.15
382 1058 1214,324 827 396,0.68 0.62 0.86
26 82 193 276 792 1158 1181,176 1080 1104 1158 852 264 354,0.49 0.11 0.32 0.88 0.31 0.9 0.08
413 735 795 912 1145,450 294 288 526 314,0.95 0.37 0.5 0.07 0.31
190 213 968,1496 280 256,0.65 0.08 0.86
194 204 720,672 480 258,0.54 0.62 0.77
421 510 614 937 997 1103 1113 1346,885 183 1134 1083 658 345 200 705,0.86 0.97 0.24 0.56 0.73 0.65 0.65 0.57
535 584 861 1001 1150,1420 1036 490 1008 1595,0.78 0.26 0.75 0.88 0.66
87 183 626 1269 1296 1312 1412,534 964 387 1191 753 459 366,0.76 0.52 1.0 0.13 0.15 0.91 0.87
649 736 786 1352,765 639 291 795,0.64 0.41 0.86 0.31
268 434 1089 1310 1399,692 284 494 1194 534,0.93 0.04 0.15 0.65 0.93
729,516,0.03
241 484 717 939 1293 1459 1543,873 1092 1568 210 288 429 992,0.21 0.69 0.8 0.87 0.5 0.13 0.38
465 975,590 1128,0.16 0.81
459 532 775 1231 1264 1281 1380 1407,192 1548 285 742 940 1108 1086 189,0.48 0.54 0.29 0.79 0.03 0.62 0.57 0.04
1411 1488,760 702,0.6 0.41
36,540,0.89
65 647,752 1096,0.86 0.33
587 953 1020 1236 1390 1436 1546,981 822 153 664 382 276 122,0.74 0.18 0.32 0.2 0.3 0.86 0.28
208 428 1111,741 268 234,0.43 0.86 0.91
844 1421,993 568,0.64 0.06
8 1177,777 462,0.42 0.18
358 445 1061,1125 1384 498,0.76 0.62 0.64
152 335 612 701 768 1550 1556,1156 1496 476 225 827 543 1060,0.79 0.24 0.57 0.59 0.07 0.17 0.4
266 748,486 660,0.14 0.37
179 572 638 775 975 1088 1191,825 1003 1260 380 1128 1328 630,0.52 0.78 0.8 0.86 0.57 0.85 0.63
174 663 723 807 913 1416 1489,684 528 153 564 712 1112 519,0.79 0.8 0.42 0.43 0.41 0.7 0.46
147 247 274 784 790 1083 1116 1146,192 534 1122 104 231 100 1011 1028,0.92 0.4 0.24 0.79 0.86 0.68 0.38 0.13
261 644 1070 1126 1237 1320,1014 174 1053 348 825 798,0.11 0.88 0.14 0.89 0.28 0.78
246 413 1068 1288 1378,1284 450 422 276 146,0.45 0.27 0.88 0.47 0.42
1122,222,0.66
219 463 696 918 1272 1438 1521,756 375 216 1188 992 548 140,0.37 0.03 0.19 0.84 0.86 0.69 0.86
227 832 1342,792 1296 1119,0.05 0.26 0.62
162 312 504,855 426 736,0.6 0.46 0.66
46 662 1533,1032 690 500,0.9 0.54 0.72
924 1460,1080 639,0.3 0.81
429 658 685 1034 1544,302 536 459 873 584,0.33 0.67 0.38 0.96 0.92
355 659,243 963,0.9 0.03
272 688 998,782 948 500,0.77 0.11 0.15
239 422 497,884 1101 748,0.76 0.38 0.51
85 634 746 823 1216 1326 1399,408 759 796 686 422 513 712,0.89 0.76 0.95 0.29 0.61 0.53 0.12
155 255 282 377 677 710 793 1463,762 256 186 840 1184 476 855 594,0.87 0.59 0.27 0.15 0.91 0.8 0.01 0.54
188 554 577 745 856,774 628 786 254 717,0.83 0.37 0.25 0.38 0.37
553 676 976,764 986 585,0.37 0.62 0.42
77 200 287 753 909 1475,840 795 468 756 465 1068,0.51 0.98 0.95 0.63 0.33 0.29
79 934 1021 1071 1487,528 330 488 792 285,0.31 0.27 0.7 0.89 0.05
218,1032,0.68
402 1111,225 156,0.64 0.1
275 917 1121 1217 1267 1337 1367,981 448 1548 381 480 113 1071,0.45 0.21 0.34 0.45 0.03 0.26 0.89
1397 1474,429 430,0.72 0.83
22 143 455 665 709 925 992 1131,687 738 504 471 171 152 537 960,0.45 0.41 0.37 0.97 0.02 0.19 0.79 0.74
31 114 783 856 1033 1160 1555,620 276 741 717 573 1104 1180,0.13 0.02 0.99 0.2 0.41 0.36 0.62
248 548 598 698,172 580 455 699,0.66 0.28 0.71 0.94
897 916 1544,162 771 584,0.09 0.06 0.84
157 616 706,885 532 1038,0.06 0.41 0.49
429 1012 1032 1195 1438,453 827 165 664 274,0.12 0.88 0.29 0.83 0.42
643 780 1196 1346,736 1420 876 940,0.2 0.89 0.79 0.13
771 1214,336 264,0.4 0.46
353 669 1301,628 720 376,0.69 0.9 0.05
166 336 399 1035 1351,741 229 261 444 668,0.12 0.64 0.73 0.14 0.23
16 169 336 346 1405 1484,1149 990 459 1060 267 132,0.41 0.56 0.12 0.64 0.65 0.16
385 768 1195 1251 1361 1444,468 552 664 1074 543 528,0.86 0.92 0.13 0.27 0.5 0.43
23 243 333 759 819 926 936,525 844 396 378 1108 168 1112,0.99 0.25 0.17 0.72 0.1 0.86 0.37
441 584 684 917 1140 1439 1456 1527,227 777 136 336 1024 450 549 1038,0.24 0.19 0.46 0.07 0.78 0.64 0.11 0.8
355 438 881 937 958 1048 1120 1364,162 772 543 1444 544 884 684 480,0.91 0.53 0.36 0.37 0.95 0.7 0.81 0.78
415 421 575 715 758 1191 1437,873 885 562 465 957 420 696,0.35 0.04 0.33 0.84 0.98 0.7 0.39
301 324 783 1079,159 788 741 442,0.06 0.09 0.44 0.2
1130 1386,465 492,0.57 0.05
44 920 1009,878 292 891,0.26 0.76 0.61
1147 1336,284 1017,0.61 0.98
469 1378,258 219,0.96 0.32
645 695 972 989 1111 1261,996 1760 1115 420 156 180,0.39 0.92 0.24 0.96 0.27 0.92
210 254 536 1125,308 224 728 663,0.31 0.59 0.57 0.82
776 799 1258,1167 1420 183,0.97 0.77 0.05
1082 1102 1485,573 570 450,0.72 0.83 0.93
25 141 374 378 545 884 1200 1420,465 1179 298 333 434 1040 374 346,0.04 0.93 0.09 0.18 0.11 0.85 0.4 0.62
26 226 338 442 592 987 1380 1447,264 227 113 448 496 777 1086 592,0.21 0.99 0.42 0.15 0.15 0.66 0.47 0.23
30 205 222 349 958 1139 1439,423 813 1185 702 272 858 450,0.49 0.54 0.31 0.79 0.85 0.12 0.8
34 1056,507 878,0.13 0.03
118 147 790 816 1166,592 192 231 916 663,0.27 0.1 0.39 0.6 0.68
321 377 381 487 570 826 1070 1303,723 630 466 1040 648 915 702 272,0.39 0.26 0.64 0.36 0.34 0.66 0.98 0.33
152 878 1132 1348 1415 1554,867 374 664 741 1140 762,0.36 0.8 0.09 0.34 0.36 0.7
566 703 1171,534 891 1272,0.14 0.63 0.69
516 853 1285,555 1164 748,0.41 0.68 0.81
742,1235,0.73
77 393,560 448,0.99 0.95
395 877 988,888 790 2166,0.84 0.46 0.88
308 312 1104 1127,436 852 735 786,0.51 0.33 0.44 0.17
382,648,0.31
209 265 448 885 1241 1430,935 1444 770 413 1490 1344,0.73 0.55 0.17 0.3 0.52 0.46
249 898 902 1280 1291 1497,476 348 291 548 919 658,0.57 0.07 0.07 0.7 0.45 0.74
74 467 650 673 893 1442 1555,471 1143 465 1096 182 656 1180,0.75 0.19 0.98 0.14 0.69 0.15 0.05
44 714 787 963 1090 1519,1172 810 745 960 860 324,0.91 0.62 0.91 0.95 0.93 0.15
462 778 949,1060 1360 1255,0.56 0.16 0.88
689 1498,528 690,0.29 0.5
223 988 1377 1398,957 1083 1132 944,0.19 0.75 0.97 0.74
10 453 709 1058 1096,568 584 171 827 512,0.04 0.49 0.5 0.83 0.97
586,284,0.51
476 493 563 613 925 1029 1035 1179,1092 1056 504 728 152 504 333 526,0.06 0.06 0.13 0.61 0.35 0.6 0.12 0.01
12 751 1254 1327,308 657 1101 768,0.77 0.07 0.16 0.76
448 498 775 791 914 1064 1334,462 765 380 860 984 162 368,0.02 0.52 0.64 0.19 0.42 0.38 0.58
382 952,324 873,0.63 0.8
257 467 473 766 916,212 1143 292 124 771,0.96 0.21 0.78 0.32 0.62
922,777,0.17
506 927 1282,1472 126 1032,0.33 0.34 0.48
541 836,376 236,0.79 0.44
414 847 1057 1063 1356 1406 1506,831 1536 572 953 480 224 1029,0.35 0.59 0.67 0.73 0.58 0.39 0.89
811,1188,0.11
29 146 379 383 888 1331,356 766 770 550 352 1096,0.96 0.77 0.2 0.24 0.33 0.67
1408,1060,0.56
31 230 343 447 596 992 1385 1451,465 357 459 576 128 537 720 324,0.38 0.91 0.35 0.2 0.95 0.05 0.63 0.52
176 210 226 326 353 963 1435,681 462 227 741 471 720 816,0.69 0.29 0.89 0.26 0.88 0.86 0.24
460 742 925 996 1002 1292 1358,483 988 152 170 827 1332 420,0.22 0.19 0.45 0.74 0.62 0.05 0.51
856 1293 1339,717 720 393,0.14 0.21 0.48
7 18 1183,1044 534 308,0.55 0.35 0.56
234 916,810 771,0.13 0.9
282 752 958 1114 1314,372 340 272 1026 192,0.54 0.76 0.56 0.41 0.97
432 575 1430 1447 1518,470 1124 672 1184 1056,0.67 0.1 0.95 0.72 0.98
313 695 812 1045 1049 1554,855 1056 1336 1480 1572 762,0.41 0.5 0.3 0.58 0.07 0.4
163 516 766 1265,952 555 186 144,0.52 0.41 0.53 0.41
115 121 414 458 891 1136,130 894 831 600 741 1444,0.29 0.11 1.0 0.69 0.43 0.83
154 454 604,588 279 375,0.75 0.17 0.78
435 484 761 1050,849 1092 509 384,0.16 0.4 0.81 0.08
35 911 1000,663 788 807,0.44 0.96 0.4
54 297 786 846 929 1036 1539,586 270 291 513 159 642 1074,0.79 0.33 0.26 0.59 0.93 0.54 0.67
397,405,0.83
334 750 913 933 989 1210 1299,312 585 356 1014 252 509 827,0.04 0.12 0.32 0.01 0.47 0.69 0.77
326 384 548 1193 1359 1407 1443,988 162 869 267 496 189 651,0.79 0.39 0.39 0.65 0.59 0.84 0.19
365,1584,0.38
192 249 269 432 868 1224,304 636 1136 940 1074 496,0.74 0.81 0.41 0.46 0.02 0.78
433,522,0.36
495 872,234 756,0.78 0.14
30 223 712,282 1276 774,0.36 0.3 0.54
48 154 658 730 974 1429 1463 1479,376 784 803 688 316 720 396 438,0.28 0.44 0.12 0.56 0.25 0.64 0.56 0.14
129 484,620 1092,0.62 0.32
206 235 355 877 921 1204 1343,633 1065 162 316 540 648 574,0.12 0.31 0.74 0.49 0.55 0.78 0.19
201 617 927,450 463 189,0.3 0.3 0.36
167 350 717,240 488 1568,0.15 0.47 0.55
149 675 752 841 1145 1158 1328,1245 718 170 555 471 396 1130,0.45 0.63 0.15 0.47 0.54 0.08 0.49
83 183 306 606 639 722 1354 1392,1164 964 1584 1060 1312 566 740 249,0.28 0.56 0.81 0.08 0.61 0.74 0.43 0.82
117 483 506 965,1100 582 1104 459,0.59 0.91 0.54 0.48
924,1080,0.08
508 514 668 714 851 1217 1284 1396,1516 543 786 1080 753 508 729 1060,0.29 0.28 0.71 0.82 0.47 0.15 0.68 0.41
563 1252 1485,504 684 450,0.63 0.34 0.19
170 270 297 806 813 1106 1139 1169,960 896 360 1040 580 304 1144 1490,0.47 0.03 0.48 0.24 0.54 0.81 0.07 0.97
284 667 1093 1149 1259 1343,297 798 1124 264 642 1148,0.3 0.58 0.34 0.23 0.08 0.18
269 436 1091 1311 1401,1136 306 712 644 318,0.74 0.85 0.81 0.54 0.35
1145,471,0.07
242 485 718 941 1295 1461 1544,1036 657 696 1580 740 1024 292,0.61 0.79 0.5 0.93 0.55 0.65 0.5
564 1073,264 1380,0.96 0.03
558 630 874,320 560 636,0.39 0.58 0.07
35 784,663 156,0.24 0.21
12 415 1177,308 873 462,0.47 0.16 0.2
228 422 744 911,328 1101 1173 591,0.61 0.29 0.46 0.43
103 120,285 678,0.49 0.83
17 267,598 249,0.3 1.0
300 311 827,1176 1075 380,0.72 0.28 0.72
617,348,0.92
404 433 1076 1120 1403 1453,500 522 648 513 488 1244,0.36 0.93 0.81 0.06 0.18 0.69
725 1201,447 1011,0.56 0.96
525 1268,855 260,0.28 0.44
269 729 818,852 516 270,0.67 0.34 0.24
77 90 260 639 1242 1331,1120 231 736 656 396 822,0.36 0.92 0.27 0.56 0.19 0.65
689,528,0.91
476 1032,728 110,0.73 0.75
807 1543,564 744,0.05 0.25
840 1367 1423,274 714 948,0.67 0.45 0.94
20,834,0.81
1049 1525,1572 1179,0.98 0.68
34,676,0.41
433 440 1209 1455,696 268 540 759,0.81 0.93 0.61 0.3
26 575 764 1157 1268 1340,352 562 762 672 390 514,0.22 0.77 0.39 0.27 0.44 0.06
232 236 614 625 1051 1307,789 724 1134 644 156 528,0.33 0.93 0.18 0.84 0.23 0.22
189 300 372 616 1165 1248 1354,1380 882 1194 532 564 1332 444,0.77 0.96 0.17 0.99 0.75 0.88 0.61
48 297 424 820 853,564 180 434 140 1164,0.28 0.7 0.78 0.43 0.39
87 391 404 574 953 1036 1306 1556,534 524 500 801 822 856 494 1060,0.61 0.34 0.13 0.92 0.01 0.63 0.7 0.23
261 328 987 1110 1116 1270 1453,1014 252 1036 560 759 807 622,0.15 0.6 0.27 0.47 0.87 0.48 0.85
30 996 1019 1478,423 254 1122 1064,0.27 0.42 0.41 0.34
523 899,344 768,0.19 0.19
57 250 573 739,244 1036 1017 476,0.31 0.07 0.95 0.33
190 223 240,748 957 172,0.03 0.52 0.61
125 398 668 1340,696 240 1179 771,0.82 0.36 0.04 0.32
1540,704,0.99
136 835 951 1184,1161 1047 772 852,0.83 0.1 0.35 0.2
189 196 1105 1537,1035 741 370 819,0.71 0.1 0.47 0.71
239 622 645 1387,442 162 996 698,0.31 0.45 0.11 0.09
22 118 268 561 1204 1247 1530,916 444 692 154 648 672 254,0.49 0.23 0.2 0.71 0.15 0.67 0.09
226 293 430 846 1156,152 480 540 342 364,0.76 0.78 0.67 0.25 0.08
417 860 1132 1415 1465 1502,1088 936 332 1520 836 843,0.44 0.69 0.02 0.98 0.87 0.94
360 899 970 1442,524 768 1244 656,0.73 0.48 0.3 0.89
541 695 741 878 935 1244 1423,752 704 219 748 1120 484 948,0.75 0.47 0.31 0.13 0.02 0.09 0.86
12 183 245 822 882 988 1071,462 723 596 372 747 1444 792,0.98 0.26 0.48 0.39 0.8 0.54 0.93
699 1208 1238,284 574 441,0.37 0.22 0.63
663 873 880 1173 1223 1323,528 705 1095 924 177 588,0.02 0.36 0.77 0.13 0.41 0.77
228 787 887 1010 1310 1353 1430,328 447 720 1060 1194 1120 1008,0.17 0.11 0.61 0.17 0.23 0.83 0.25
530 896 919 1179 1378,752 803 462 789 219,0.78 0.21 0.51 0.68 0.24
430 989 1089 1212 1218 1372 1511 1555,540 252 741 212 549 747 240 590,0.59 0.49 0.83 0.4 0.83 0.62 0.59 0.73
354 520 604,450 1120 375,0.53 0.72 0.69
285 369 625 874 1001 1111,372 459 483 476 756 312,0.86 0.53 0.54 0.63 0.22 0.68
468 1078 1151 1394,522 328 124 505,0.94 0.51 0.43 0.09
272 322 599 615 738 888,1564 596 696 270 740 352,0.66 0.97 0.16 0.71 0.23 0.72
364 1007,880 908,0.89 1.0
767 1377,290 566,0.81 0.02
497,561,0.18
571 621 898 914 1037 1043 1187 1347,250 278 522 738 174 471 660 354,0.46 0.1 0.99 0.88 0.62 0.97 0.78 0.6
311 482 652 1262 1463,645 146 501 227 792,0.9 0.17 0.59 0.02 0.38
619 823 1239 1549,900 1029 684 455,0.57 0.15 0.46 0.52
67 304 1126,372 567 348,0.93 0.31 0.4
294 610 1242,528 908 792,0.45 0.07 0.19
277 421 520 753 976 1292 1363,723 590 1120 567 468 1332 798,0.68 0.58 0.21 0.96 0.46 0.45 0.77
125 169 329 385 452 1005 1161 1361,696 792 348 312 992 1096 1436 543,0.18 0.47 0.15 0.38 0.81 0.57 0.73 0.77
260 293 376 632 882 1008,368 640 908 332 498 178,0.08 0.59 0.22 0.88 0.28 0.51
41 58 185 794 1110,356 693 113 360 840,0.69 0.73 0.07 0.51 0.01
238 248 764,591 258 1143,0.95 0.26 0.32
554,942,0.1
371 1014 1058 1341 1390 1486,132 177 827 690 764 712,0.52 0.19 0.93 0.98 0.73 0.24
85 101 172 222 644 788 1121,408 216 996 1185 261 110 1161,0.2 0.45 0.14 0.08 0.49 0.15 0.77
105 261 987 1044 1110,1116 1352 1036 508 1120,0.28 0.35 0.27 0.82 0.42
153 691 1234,816 855 168,0.54 0.02 0.94
82 619 918 1394 1540,1080 900 1188 759 1056,0.47 0.35 0.71 0.07 0.71
65 308 797 813 940 1550,1128 654 657 580 568 724,0.17 0.83 0.75 0.17 0.84 0.61
31 518 1333,465 408 372,0.42 0.39 0.29
1057 1117 1233 1466,572 1456 292 720,0.23 0.98 0.85 0.71
164 374 381 824,891 298 699 422,0.32 0.15 0.55 0.3
133 516 526 539 1208 1281,210 555 675 748 861 831,0.55 0.47 0.99 0.42 0.61 0.71
6 177 555 1158 1248 1552,345 664 576 264 999 1080,0.19 0.48 0.27 0.22 0.19 0.39
702,768,0.45
490 1045,660 1110,0.16 0.15
821 1557,764 360,0.43 0.36
854 1380 1437,320 724 696,0.87 0.06 0.43
695 1178 1288 1371,1056 1512 552 988,0.73 0.7 0.14 0.57
502 1344,951 608,0.56 0.52
175 236 342 352 585 1411,1540 724 450 200 654 760,0.71 0.58 0.56 0.31 0.75 0.12
100 271 333 910 970 1076 1159,585 474 528 736 933 1296 1134,0.58 0.84 0.41 0.87 0.35 0.62 0.1
884 1393 1423,780 370 948,0.26 0.43 0.89
91 141,1072 1572,0.52 0.65
690 1500,288 723,0.05 0.78
1108 1491 1502,492 1032 843,0.26 0.73 0.67
160 842,852 1280,0.08 0.33
499 576 969 1175 1331 1531,1184 140 528 346 822 153,0.39 0.04 0.17 0.67 0.93 0.81
324 740,394 591,0.44 0.8
7 130 136 290 430 473 839 906,1044 892 1548 509 540 146 198 189,0.79 0.4 0.98 0.04 0.74 0.02 0.8 0.47
88 442 692 1191,258 448 465 420,0.37 0.77 0.97 0.68
332 338 492 631 675 1108 1353,884 227 708 312 1436 492 1120,0.31 0.78 0.47 0.71 0.39 0.55 0.11
606 629 785 1088 1384,795 220 684 1328 771,0.85 0.97 0.03 0.87 0.85
94 377 560 631 637 926 930 993,186 630 480 312 258 168 592 1185,0.19 0.47 0.31 0.17 0.74 0.19 0.09 0.07
11 341 820 880 1070,1404 831 280 730 1404,0.35 0.63 0.39 0.18 0.49
384 551 967 1150 1206 1427 1516,108 963 183 1276 1714 1308 1008,0.56 0.44 0.6 0.32 0.33 0.04 0.38
66 310 543 765 1081 1119 1368,1376 227 492 768 873 951 1065,0.88 0.68 0.88 0.23 0.72 0.79 0.32
425 898 1341,384 522 1035,0.01 0.83 0.33
9,968,0.53
26 109 608 991 1417 1474,264 1185 272 975 722 860,0.8 0.66 0.54 0.68 0.95 0.09
556,650,0.31
373 602 978 1488,1380 428 480 702,0.92 0.95 0.71 0.15
15 214 510 1290 1313 1469 1552,916 846 183 963 1176 639 810,0.51 0.27 0.74 0.65 0.25 0.29 0.42
447 936,864 1112,0.17 0.73
690 1160 1366,432 552 827,0.31 0.83 0.08
334 345 391 501 584 1466,156 633 524 434 518 540,0.59 0.96 0.81 0.73 0.25 0.01
93 642,288 664,0.38 0.29
10 166 892 1146 1362 1428,426 741 819 1028 447 772,0.95 0.71 0.99 0.87 0.75 0.13
482 619 1035 1185,219 675 333 405,0.65 0.11 0.95 0.25
97 101 267 922 1143 1305 1422,236 216 166 1036 528 171 892,0.67 0.5 0.08 0.97 0.89 0.33 0.93
481,1140,0.68
714 918 1118 1230 1334,1080 891 1172 231 552,0.45 0.51 0.41 0.55 0.21
808 1251,556 716,0.78 0.08
389 705 1338,716 440 888,0.42 0.38 0.5
202 372 435 1044 1071 1388,596 796 566 381 1056 700,0.04 0.41 0.44 0.08 0.65 0.74
